"Gene","N_mutations","N_patients","Percent_patients","Mean_VAF"
"TTN",107,70,31,0.307
"EGFR",103,58,25.7,0.413
"TP53",102,63,27.9,0.525
"PTEN",94,72,31.9,0.477
"MUC16",71,44,19.5,0.283
"FLG",42,30,13.3,0.273
"RYR2",37,26,11.5,0.329
"NF1",33,23,10.2,0.325
"LRP2",31,24,10.6,0.257
"SPTA1",30,19,8.4,0.357
"RB1",27,22,9.7,0.49
"PIK3CA",26,19,8.4,0.334
"DOCK5",24,13,5.8,0.356
"PKHD1",24,19,8.4,0.279
"HMCN1",23,16,7.1,0.299
"PCLO",23,18,8,0.252
"COL6A3",22,17,7.5,0.285
"LRP1",22,18,8,0.176
"MUC17",22,17,7.5,0.219
"OBSCN",22,18,8,0.31
"PIK3R1",22,17,7.5,0.336
"AHNAK2",21,16,7.1,0.354
"DNAH5",21,16,7.1,0.322
"RIMS2",20,13,5.8,0.359
"PIK3CG",19,13,5.8,0.235
"GRIN2A",18,13,5.8,0.311
"GRM3",18,10,4.4,0.208
"PDGFRA",18,13,5.8,0.329
"HYDIN",17,11,4.9,0.312
"PIK3C2B",17,17,7.5,0.149
"RELN",17,12,5.3,0.243
"APOB",16,13,5.8,0.28
"HCN1",16,11,4.9,0.378
"LAMA1",16,13,5.8,0.297
"STAG2",16,11,4.9,0.424
"CFAP47",15,11,4.9,0.517
"DNAH2",15,13,5.8,0.325
"FAT2",15,11,4.9,0.347
"FLG2",15,11,4.9,0.26
"KEL",15,11,4.9,0.269
"MAPRE3",15,15,6.6,0.198
"SYNE1",15,11,4.9,0.244
"TCHH",15,11,4.9,0.289
"USH2A",15,12,5.3,0.348
"ADAM29",14,9,4,0.336
"NRXN2",14,14,6.2,0.204
"PRDM9",14,10,4.4,0.299
"TAF1L",14,10,4.4,0.311
"ADAMTS12",13,10,4.4,0.307
"AHNAK",13,9,4,0.182
